,season,league,uniquetop4,uniquechamps,first_to_second,first_to_third
0,1992/1993,Serie A,,,4,9
1,1993/1994,Serie A,,,3,6
2,1994/1995,Serie A,,,10,10
3,1995/1996,Serie A,7.0,2.0,8,14
4,1996/1997,Serie A,7.0,2.0,2,6
5,1997/1998,Serie A,8.0,2.0,5,10
6,1998/1999,Serie A,8.0,2.0,1,14
7,1999/2000,Serie A,8.0,3.0,1,11
8,2000/2001,Serie A,8.0,4.0,2,6
9,2001/2002,Serie A,7.0,4.0,1,2
10,2002/2003,Serie A,6.0,3.0,7,11
11,2003/2004,Serie A,6.0,3.0,11,13
12,2004/2005,Serie A,6.0,2.0,7,14
13,2005/2006,Serie A,6.0,2.0,15,22
14,2006/2007,Serie A,6.0,3.0,22,35
15,2007/2008,Serie A,7.0,2.0,3,13
16,2008/2009,Serie A,6.0,2.0,10,10
17,2009/2010,Serie A,7.0,1.0,2,12
18,2010/2011,Serie A,8.0,2.0,6,12
19,2011/2012,Serie A,9.0,3.0,4,20
20,2012/2013,Serie A,9.0,3.0,9,15
21,2013/2014,Serie A,8.0,2.0,17,24
22,2014/2015,Serie A,7.0,1.0,17,18
23,2015/2016,Serie A,7.0,1.0,9,11
24,2016/2017,Serie A,7.0,1.0,4,5
25,2017/2018,Serie A,7.0,1.0,4,18
26,2018/2019,Serie A,5.0,1.0,11,21
27,2019/2020,Serie A,6.0,1.0,1,5
28,2020/2021,Serie A,7.0,2.0,12,13
29,1992/1993,Ligue 1,,,2,2
30,1993/1994,Ligue 1,,,8,13
31,1994/1995,Ligue 1,,,10,12
32,1995/1996,Ligue 1,8.0,4.0,4,4
33,1996/1997,Ligue 1,8.0,4.0,12,15
34,1997/1998,Ligue 1,9.0,4.0,0,9
35,1998/1999,Ligue 1,9.0,4.0,1,9
36,1999/2000,Ligue 1,8.0,3.0,7,9
37,2000/2001,Ligue 1,9.0,4.0,4,9
38,2001/2002,Ligue 1,9.0,4.0,2,7
39,2002/2003,Ligue 1,9.0,3.0,1,3
40,2003/2004,Ligue 1,9.0,2.0,3,4
41,2004/2005,Ligue 1,9.0,1.0,12,16
42,2005/2006,Ligue 1,9.0,1.0,15,22
43,2006/2007,Ligue 1,10.0,1.0,17,23
44,2007/2008,Ligue 1,9.0,1.0,4,17
45,2008/2009,Ligue 1,8.0,2.0,3,9
46,2009/2010,Ligue 1,8.0,3.0,6,7
47,2010/2011,Ligue 1,8.0,4.0,8,12
48,2011/2012,Ligue 1,8.0,4.0,3,8
49,2012/2013,Ligue 1,7.0,4.0,12,16
50,2013/2014,Ligue 1,8.0,3.0,9,18
51,2014/2015,Ligue 1,8.0,2.0,8,12
52,2015/2016,Ligue 1,7.0,1.0,31,31
53,2016/2017,Ligue 1,7.0,2.0,8,17
54,2017/2018,Ligue 1,5.0,2.0,13,15
55,2018/2019,Ligue 1,7.0,2.0,16,19
56,2019/2020,Ligue 1,8.0,2.0,12,18
57,2020/2021,Ligue 1,7.0,2.0,1,5
58,1992/1993,Bundesliga,,,1,6
59,1993/1994,Bundesliga,,,1,5
60,1994/1995,Bundesliga,,,1,3
61,1995/1996,Bundesliga,9.0,3.0,6,12
62,1996/1997,Bundesliga,9.0,2.0,2,8
63,1997/1998,Bundesliga,9.0,3.0,2,13
64,1998/1999,Bundesliga,8.0,3.0,15,16
65,1999/2000,Bundesliga,8.0,2.0,0,14
66,2000/2001,Bundesliga,9.0,2.0,1,5
67,2001/2002,Bundesliga,7.0,2.0,1,2
68,2002/2003,Bundesliga,8.0,2.0,16,17
69,2003/2004,Bundesliga,8.0,3.0,6,9
70,2004/2005,Bundesliga,8.0,3.0,14,18
71,2005/2006,Bundesliga,8.0,2.0,5,7
72,2006/2007,Bundesliga,7.0,3.0,2,4
73,2007/2008,Bundesliga,6.0,2.0,10,12
74,2008/2009,Bundesliga,7.0,3.0,2,5
75,2009/2010,Bundesliga,8.0,3.0,5,9
76,2010/2011,Bundesliga,10.0,3.0,7,10
77,2011/2012,Bundesliga,10.0,3.0,8,17
78,2012/2013,Bundesliga,7.0,2.0,25,26
79,2013/2014,Bundesliga,6.0,2.0,19,26
80,2014/2015,Bundesliga,6.0,2.0,10,13
81,2015/2016,Bundesliga,6.0,1.0,10,28
82,2016/2017,Bundesliga,8.0,1.0,15,18
83,2017/2018,Bundesliga,8.0,1.0,21,29
84,2018/2019,Bundesliga,7.0,1.0,2,12
85,2019/2020,Bundesliga,7.0,1.0,13,16
86,2020/2021,Bundesliga,8.0,1.0,13,14
87,1992/1993,Primera División,,,1,4
88,1993/1994,Primera División,,,0,10
89,1994/1995,Primera División,,,4,9
90,1995/1996,Primera División,8.0,3.0,3,4
91,1996/1997,Primera División,8.0,3.0,5,12
92,1997/1998,Primera División,9.0,3.0,9,11
93,1998/1999,Primera División,10.0,3.0,11,13
94,1999/2000,Primera División,9.0,3.0,5,5
95,2000/2001,Primera División,8.0,3.0,7,9
96,2001/2002,Primera División,6.0,4.0,7,9
97,2002/2003,Primera División,8.0,3.0,2,6
98,2003/2004,Primera División,7.0,2.0,5,6
99,2004/2005,Primera División,8.0,3.0,4,19
100,2005/2006,Primera División,9.0,3.0,12,13
101,2006/2007,Primera División,8.0,3.0,0,5
102,2007/2008,Primera División,8.0,2.0,8,18
103,2008/2009,Primera División,7.0,2.0,9,17
104,2009/2010,Primera División,6.0,2.0,3,28
105,2010/2011,Primera División,6.0,2.0,4,25
106,2011/2012,Primera División,7.0,2.0,9,39
107,2012/2013,Primera División,8.0,2.0,15,24
108,2013/2014,Primera División,8.0,3.0,3,3
109,2014/2015,Primera División,7.0,3.0,2,16
110,2015/2016,Primera División,7.0,2.0,1,3
111,2016/2017,Primera División,7.0,3.0,3,15
112,2017/2018,Primera División,6.0,2.0,14,17
113,2018/2019,Primera División,6.0,2.0,11,19
114,2019/2020,Primera División,5.0,2.0,5,17
115,2020/2021,Primera División,5.0,3.0,2,7
116,1992/1993,Premier League,,,10,12
117,1993/1994,Premier League,,,8,15
118,1994/1995,Premier League,,,1,12
119,1995/1996,Premier League,8.0,2.0,4,11
120,1996/1997,Premier League,7.0,2.0,7,7
121,1997/1998,Premier League,8.0,3.0,1,13
122,1998/1999,Premier League,7.0,2.0,1,4
123,1999/2000,Premier League,6.0,2.0,18,22
124,2000/2001,Premier League,5.0,2.0,10,11
125,2001/2002,Premier League,6.0,2.0,7,10
126,2002/2003,Premier League,6.0,2.0,5,14
127,2003/2004,Premier League,6.0,2.0,11,15
128,2004/2005,Premier League,6.0,3.0,12,18
129,2005/2006,Premier League,6.0,3.0,8,9
130,2006/2007,Premier League,5.0,3.0,6,21
131,2007/2008,Premier League,5.0,2.0,2,4
132,2008/2009,Premier League,4.0,2.0,4,7
133,2009/2010,Premier League,5.0,2.0,1,11
134,2010/2011,Premier League,6.0,2.0,9,9
135,2011/2012,Premier League,6.0,3.0,0,19
136,2012/2013,Premier League,5.0,3.0,11,14
137,2013/2014,Premier League,6.0,2.0,2,4
138,2014/2015,Premier League,6.0,3.0,8,12
139,2015/2016,Premier League,7.0,4.0,10,11
140,2016/2017,Premier League,7.0,3.0,7,15
141,2017/2018,Premier League,7.0,3.0,19,23
142,2018/2019,Premier League,7.0,3.0,1,26
143,2019/2020,Premier League,5.0,3.0,18,33
144,2020/2021,Premier League,5.0,2.0,12,17
